ID,TxtGridDir,NWavs,NTxtGrids,Task1_wav,Task1_dur,Task1_Prompt,Task1_Kaldi,Task1_IBM,Task1_nSpeakers,Task2_wav,Task2_dur,Task2_Prompt,Task2_Kaldi,Task2_IBM,Task2_nSpeakers,Task3_wav,Task3_dur,Task4_wav,Task4_dur,Task_5_wav,Task5_dur,Task5_Prompt,Task5_Kaldi,Task5_IBM,Task5_nSpeakers
1285,1,5,3,1,738.190998,1,0,0,0,1,292.939002,1,0,0,0,1,149.814989,1,279.545986,1,227.660998,1,0,0,0
1293,1,5,3,1,1348.897007,1,0,0,0,1,95.634014,1,0,0,0,1,177.743991,1,274.767007,1,201.936009,1,0,0,0
130,1,5,3,1,1132.905986,1,0,0,0,1,571.997007,1,0,0,0,1,245.369002,1,465.347007,1,433.334989,1,0,0,0
1306,1,5,3,1,1494.735986,1,0,0,0,1,449.690000,1,0,0,0,1,183.274014,1,288.924989,1,301.216009,1,0,0,0
1308,1,5,3,1,1656.687007,1,0,0,0,1,409.881995,1,0,0,0,1,188.034989,1,273.705011,1,329.137982,1,0,0,0
1319,1,5,3,1,850.624989,1,0,0,0,1,322.547007,1,0,0,0,1,169.185986,1,340.580998,1,250.560998,1,0,0,0
1320,1,5,3,1,1257.212993,1,0,0,0,1,413.422018,1,0,0,0,1,199.913991,1,370.109002,1,288.714014,1,0,0,0
1327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,1,5,3,1,2762.837007,1,0,0,0,1,937.103991,1,0,0,0,1,147.277982,1,318.062993,1,239.813016,1,0,0,0
1344,1,5,3,1,2053.187007,1,0,0,0,1,230.372993,1,0,0,0,1,193.603991,1,453.328980,1,300.829002,1,0,0,0
135,1,5,3,1,1284.389002,1,0,0,0,1,594.997007,1,0,0,0,1,284.116009,1,436.630000,1,345.932993,1,0,0,0
144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1,5,3,1,969.934014,1,0,0,0,1,469.825986,1,0,0,0,1,241.424014,1,426.254989,1,199.058980,1,0,0,0
167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1,5,5,1,1962.758980,1,1,1,2,1,755.543991,1,0,0,0,1,261.043016,1,765.421995,1,482.040000,1,0,0,0
171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,1,2,1,1,1131.737982,1,0,0,0,1,343.185986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1,5,5,1,2789.804989,1,1,1,2,1,142.976009,1,0,0,0,1,271.133991,1,722.192993,1,151.744014,1,0,0,0
176,1,5,3,1,1369.752993,1,0,0,0,1,120.520000,1,0,0,0,1,168.424989,1,311.551995,1,139.149002,1,0,0,0
177,1,5,2,1,1760.094989,1,0,0,0,1,277.369002,1,0,0,0,1,309.891995,1,1580.207007,1,4.061995,0,0,0,0
178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,1,5,2,1,1608.098005,1,0,0,0,1,470.932993,1,0,0,0,1,327.929002,1,441.256984,1,495.348345,0,0,0,0
190,1,5,5,1,1333.374989,1,1,1,3,1,566.070000,1,0,0,0,1,259.561995,1,384.265011,1,370.870998,1,0,0,0
191,1,5,5,1,1410.470000,1,1,1,3,1,358.112018,1,0,0,0,1,194.960000,1,324.584014,1,300.902993,1,0,0,0
193,1,5,3,1,1429.999002,1,0,0,0,1,468.632993,1,0,0,0,1,153.674989,1,333.988005,1,215.604014,1,0,0,0
195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,1,5,5,1,2561.708005,1,1,1,2,1,240.580998,1,0,0,0,1,240.166009,1,543.936009,1,475.989002,1,0,0,0
199,1,5,3,1,1291.679002,1,0,0,0,1,463.346984,1,0,0,0,1,172.930998,1,329.417982,1,180.892993,1,0,0,0
203,1,5,3,1,971.162993,1,0,0,0,1,356.745986,1,0,0,0,1,307.952993,1,4.930000,1,240.660000,1,0,0,0
205,1,5,3,1,1358.039002,1,0,0,0,1,457.746009,1,0,0,0,1,163.508005,1,350.810000,1,210.207982,1,0,0,0
208,1,5,5,1,1376.270000,1,1,1,3,1,892.319002,1,0,0,0,1,233.468005,1,514.912993,1,475.902018,1,0,0,0
211,1,5,5,1,1286.666009,1,1,1,2,1,319.685986,1,0,0,0,1,181.930000,1,332.333991,1,254.629002,1,0,0,0
212,1,5,3,1,1017.380023,1,0,0,0,1,464.963991,1,0,0,0,1,145.259002,1,338.272993,1,251.380998,1,0,0,0
215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,1,5,3,1,807.038005,1,0,0,0,1,307.207007,1,0,0,0,1,134.039002,1,478.388005,1,220.787982,1,0,0,0
218,1,2,1,1,886.133991,1,0,0,0,1,460.028980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,1,5,3,1,1077.986009,1,0,0,0,1,290.411995,1,0,0,0,1,124.227982,1,370.429977,1,201.781995,1,0,0,0
220,1,5,5,1,1215.370998,1,1,1,2,1,408.032993,1,0,0,0,1,246.378005,1,445.158005,1,220.499002,1,0,0,0
221,1,5,3,1,1176.959002,1,0,0,0,1,425.084989,1,0,0,0,1,143.126009,1,392.190998,1,244.690000,1,0,0,0
222,1,5,5,1,1102.760000,1,1,1,2,1,384.940998,1,0,0,0,1,206.707007,1,380.622993,1,285.013991,1,0,0,0
228,1,5,3,1,1167.320998,1,0,0,0,1,413.785011,1,0,0,0,1,251.293016,1,863.488639,1,-1,1,0,0,0
229,1,5,3,1,965.073991,1,0,0,0,1,561.909002,1,0,0,0,1,166.869002,1,419.292993,1,328.710998,1,0,0,0
230,1,5,5,1,927.451995,1,1,1,2,1,342.432993,1,0,0,0,1,460.983991,1,437.484989,1,252.375011,1,0,0,0
231,1,5,0,1,1236.965986,0,0,0,0,1,774.955986,0,0,0,0,1,596.823991,1,1023.062222,1,-1,0,0,0,0
232,1,5,5,1,761.173991,1,1,1,2,1,301.914989,1,0,0,0,1,213.889002,1,531.651995,1,196.685011,1,0,0,0
233,1,5,5,1,1236.133220,1,1,1,3,1,-1,1,0,0,0,1,-1,1,-1,1,-1,1,0,0,0
243,1,5,3,1,718.573991,1,0,0,0,1,324.085011,1,0,0,0,1,147.391995,1,453.712018,1,223.900000,1,0,0,0
246,1,5,5,1,1612.348005,1,1,1,3,1,492.019002,1,0,0,0,1,254.529002,1,484.084014,1,376.269002,1,0,0,0
248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,1,5,5,1,1659.984989,1,1,1,3,1,487.729002,1,0,0,0,1,220.950000,1,487.165986,1,372.316009,1,0,0,0
251,1,5,5,1,2279.785986,1,1,1,2,1,781.186984,1,0,0,0,1,260.985011,1,494.396984,1,294.938005,1,0,0,0
254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,1,5,3,1,944.111995,1,0,0,0,1,336.549002,1,0,0,0,1,182.413991,1,369.391995,1,186.100998,1,0,0,0
257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,1,5,3,1,742.003991,1,0,0,0,1,348.280000,1,0,0,0,1,163.177007,1,280.129002,1,277.410000,1,0,0,0
260,1,5,3,1,1117.246009,1,0,0,0,1,422.499002,1,0,0,0,1,255.124014,1,343.620023,1,252.189002,1,0,0,0
263,1,5,5,1,1191.232993,1,1,1,2,1,315.866984,1,0,0,0,1,176.417007,1,405.400000,1,310.772018,1,0,0,0
264,1,5,3,1,1050.062018,1,0,0,0,1,297.855011,1,0,0,0,1,170.005986,1,309.929002,1,243.248005,1,0,0,0
266,1,5,3,1,1440.354989,1,0,0,0,1,352.241995,1,0,0,0,1,212.240000,1,363.489002,1,300.616984,1,0,0,0
270,1,5,5,1,1617.812993,1,1,1,3,1,533.180998,1,0,0,0,1,170.435011,1,348.218005,1,561.981995,1,0,0,0
